dataset,total_classes,k,algorithm,seed,final_accuracy,epochs,training_time_s,timestamp,git_commit
cifar100-subset,10,1,CLPL,42,72.5,500,929.9,2026-08-14T04:15:47.657916,2b04963
cifar100-subset,10,1,SCL-NL,42,74.2,500,585.1,2026-08-15T14:14:18.272692,b524fcf
cifar100-subset,10,2,CLPL,42,69.2,500,925.0,2026-08-14T04:46:37.621159,2b04963
cifar100-subset,10,2,SCL-NL,42,69.4,500,553.1,2026-08-15T14:23:31.640593,b524fcf
cifar100-subset,10,3,CLPL,42,66.9,500,915.7,2026-08-14T05:17:11.876705,2b04963
cifar100-subset,10,3,SCL-NL,42,69.6,500,552.9,2026-08-15T14:32:44.777079,b524fcf
cifar100-subset,10,5,CLPL,42,63.0,500,917.0,2026-08-14T05:47:41.185307,2b04963
cifar100-subset,10,5,SCL-NL,42,61.5,500,551.1,2026-08-15T14:41:56.109291,b524fcf
cifar100-subset,10,8,CLPL,42,46.8,500,915.6,2026-08-14T06:18:16.036618,2b04963
cifar100-subset,10,8,SCL-NL,42,49.2,500,547.8,2026-08-15T14:51:04.155642,951d87e
cifar100-subset,10,9,CLPL,42,42.1,500,916.0,2026-08-14T06:48:43.162073,2b04963
cifar100-subset,10,9,SCL-NL,42,35.8,500,544.0,2026-08-15T15:00:08.520428,951d87e
cifar100-subset,20,1,CLPL,42,69.6,500,1823.1,2026-08-14T07:34:20.081241,2b04963
cifar100-subset,20,1,SCL-NL,42,73.4,500,1102.7,2026-08-15T15:18:31.493286,951d87e
cifar100-subset,20,2,CLPL,42,68.65,500,1824.1,2026-08-14T08:35:25.322771,2b04963
cifar100-subset,20,2,SCL-NL,42,72.95,500,1086.0,2026-08-15T15:36:37.825942,951d87e
cifar100-subset,20,3,CLPL,42,67.95,500,1826.6,2026-08-14T09:36:36.329845,2b04963
cifar100-subset,20,3,SCL-NL,42,69.75,500,1086.9,2026-08-15T15:54:45.059313,951d87e
cifar100-subset,20,5,CLPL,42,64.55,500,1841.7,2026-08-14T10:37:43.920142,2b04963
cifar100-subset,20,5,SCL-NL,42,70.25,500,1089.4,2026-08-15T16:12:55.004070,951d87e
cifar100-subset,20,10,CLPL,42,52.15,500,1821.4,2026-08-14T11:38:46.013527,2b04963
cifar100-subset,20,10,SCL-NL,42,60.4,500,1098.9,2026-08-15T16:31:14.295096,951d87e
cifar100-subset,20,15,CLPL,42,34.95,500,1815.4,2026-08-14T12:39:16.763195,2b04963
cifar100-subset,20,15,SCL-NL,42,44.45,500,1087.4,2026-08-15T16:49:22.113039,951d87e
cifar100-subset,20,19,CLPL,42,17.7,500,1821.7,2026-08-14T13:39:54.318074,2b04963
cifar100-subset,20,19,SCL-NL,42,14.8,500,1073.6,2026-08-15T17:07:16.087791,951d87e
cifar100-subset,50,1,CLPL,42,58.36,500,4530.1,2026-08-14T15:26:55.490018,2b04963
cifar100-subset,50,1,SCL-NL,42,58.86,500,2750.9,2026-08-15T17:53:07.407445,951d87e
cifar100-subset,50,2,CLPL,42,59.04,500,4518.4,2026-08-14T17:57:39.424913,2b04963
cifar100-subset,50,2,SCL-NL,42,58.12,500,2733.3,2026-08-15T18:38:41.460410,951d87e
cifar100-subset,50,3,CLPL,42,58.56,500,4573.2,2026-08-14T20:30:00.497295,2b04963
cifar100-subset,50,3,SCL-NL,42,57.08,500,2745.9,2026-08-15T19:24:28.098168,951d87e
cifar100-subset,10,1,MCL-LOG-Fixed,42,74.4,500,664.4,2026-08-14T22:08:28.722349,2cb3935
